coalescence,,stretching separation,,reflexive separation,,C3,,C2,
X,Y,X,Y,X,Y,X,Y,X,Y
7.780136105475879,0.7150931669735099,8.009975335279929,0.9769105385977461,30.264119672752713,0.15216295132333468,9.955791127736667,0.6594392391852434,20.03705571256024,0.005581809866669785
17.221134264416744,0.5461730595588494,21.478632378406054,0.9198377053601792,56.68468637498973,0.20107414660459444,13.951788485367292,0.5974647325773655,24.416900219285388,0.05092815178770338
17.207062474836906,0.4689189347655288,57.00091075749224,0.9371460065433821,56.678823129331455,0.16888492794071086,19.768128178367753,0.5291696471498764,29.523005421547822,0.08344571220844998
35.42729379942227,0.4979889067392145,56.813286896427705,0.9070910092991075,61.94870832698148,0.10055466303927185,25.40661608640078,0.48446826225125184,36.08593172836754,0.11391113664880326
21.41999992182339,0.5979455187213434,56.805469235550014,0.8641720510805961,21.858179814017845,0.0035531268689095175,32.320555366628746,0.44199491070276853,42.829446001461896,0.13580449593677069
21.418827272691736,0.5915076749885666,35.2959570966771,0.7769504086682223,30.601060856581093,0.0019700505411774927,40.14681567128299,0.4081639832545704,52.48738424975863,0.15788547908580275
30.15662683568449,0.5620272758188022,21.448534384026956,0.75459971621891,46.266480606337765,0.0051244767053251206,48.70207285278171,0.37652590968256383,62.690995227318034,0.1757097458869331
56.90084469825782,0.38778334134643566,21.612314379414535,0.6537518908967247,57.016546079247625,0.02298392298040497,56.712829954149406,0.35558239619123555,71.61798218355085,0.1848681356051456
56.875437300405345,0.2482967271362735,35.27797647665842,0.678236804765646,56.832831048621934,0.014388404845386171,65.99903842771204,0.3368669160500486,79.08775715218249,0.1939327133928258
35.21152635919806,0.31342565990829885,30.17030774222045,0.6371354527011972,62.11600626976401,0.019020368915416697,75.28485601823078,0.31600548799793615,86.92144423467053,0.20087479625221327
29.18293717336835,0.21647102970320242,29.075835219344015,0.6284813021095957,61.93072770696279,0.001841059136695744,84.02578264557462,0.30369267211557627,94.38965567112663,0.2013555823961911
29.530041316337737,0.12207277460511035,17.232078989645508,0.6062596010647654,75.77502335526185,0.007024168298603417,92.9484698883247,0.2892456348136073,99.3089187784123,0.20811004139451417
99.50357853426675,0.27679210103544916,21.60840554897569,0.632292411787469,95.44738518787793,0.008290629360788948,99.50475118339841,0.2832299447682258,,
99.30540083101732,0.18879651019618404,35.261559388815265,0.588106992506772,99.09041515688088,0.008525159187119602,,,,
,,35.26859528360519,0.6267340549034323,99.27921166707708,0.0450180001641709,,,,
,,35.26703175142965,0.61815026325973,99.48911586164303,0.19739202833120295,,,,
,,56.72611997764148,0.428544625162705,,,,,,
,,56.71947496589544,0.3920635106769703,,,,,,
,,99.16468293521893,0.41625526226297827,,,,,,
